Source,Target,Label
Union Park St,East Berkeley St,silver
Union Park St,Newton St,silver
Newton St,Union Park St,silver
Newton St,Worcester Sq,silver
Worcester Sq,Newton St,silver
Worcester Sq,Mass. Ave,silver
Mass. Ave,Worcester Sq,silver
Mass. Ave,Lenox St,silver
Lenox St,Mass. Ave,silver
Lenox St,Melnea Cass,silver
Melnea Cass,Lenox St,silver
Broadway Station,DUDLEY SQ,silver
DUDLEY SQ,Broadway Station,silver
DUDLEY SQ,Courthouse,silver
Courthouse,DUDLEY SQ,silver
Courthouse,World Trade Center,silver
World Trade Center,Courthouse,silver
Oak Grove Station,World Trade Center,silver
World Trade Center,Oak Grove Station,silver
Oak Grove Station,Silver Line Way,silver
Silver Line Way,Oak Grove Station,silver
Silver Line Way,Eastern Ave,silver
Eastern Ave,Silver Line Way,silver
Eastern Ave,Box District,silver
Box District,Eastern Ave,silver
Box District,Bellingham Sq,silver
Bellingham Sq,Box District,silver
World Trade Center,Chelsea,silver
Chelsea,World Trade Center,silver
Chelsea,Harbor St,silver
Harbor St,Chelsea,silver
Harbor St,Tide St,silver
Tide St,Harbor St,silver
Tide St,23 Drydock Ave,silver
23 Drydock Ave,Tide St,silver
