Source,Target,Label
Warren Street,Washington Street,286.74576593
Warren Street,Allston Street,91.3142966777
Allston Street,Warren Street,91.3142966777
Allston Street,Griggs Street,113.710352758
Griggs Street,Allston Street,113.710352758
Griggs Street,Harvard Avenue,86.6548167147
Harvard Avenue,Griggs Street,86.6548167147
Harvard Avenue,Packards Corner,114.090159876
Packards Corner,Harvard Avenue,114.090159876
Packards Corner,Babcock Street,146.454834399
Babcock Street,Packards Corner,146.454834399
Pleasant Street,Saint Paul Street,159.034326377
Saint Paul Street,Pleasant Street,159.034326377
Saint Paul Street,Boston University West,349.907616429
Boston University West,Saint Paul Street,349.907616429
Boston University West,Boston University Central,122.713247117
Boston University Central,Boston University West,122.713247117
Boston University Central,Boston University East,107.014602961
Boston University East,Boston University Central,107.014602961
Blandford Street,Kenmore,122.367281146
Kenmore,Blandford Street,122.367281146
Cleveland Circle,Englewood Avenue,176.652940265
Englewood Avenue,Cleveland Circle,176.652940265
Englewood Avenue,Dean Road,301.707900951
Dean Road,Englewood Avenue,301.707900951
Dean Road,Tappan Street,157.079245895
Tappan Street,Dean Road,157.079245895
Tappan Street,Washington Square,127.643265822
Washington Square,Tappan Street,127.643265822
Washington Square,Fairbanks Street,110.693300158
Fairbanks Street,Washington Square,110.693300158
Fairbanks Street,Brandon Hall,125.101324715
Brandon Hall,Fairbanks Street,125.101324715
Brandon Hall,Summit Avenue,98.6447194867
Summit Avenue,Brandon Hall,98.6447194867
Summit Avenue,Coolidge Corner,129.699670729
Coolidge Corner,Summit Avenue,129.699670729
Coolidge Corner,Saint Paul Street,130.507747791
Saint Paul Street,Coolidge Corner,130.507747791
Saint Paul Street,Kent Street,119.541653582
Kent Street,Saint Paul Street,119.541653582
Kent Street,Hawes Street,157.556572457
Hawes Street,Kent Street,157.556572457
Longwood,Saint Marys Street,130.046179878
Saint Marys Street,Longwood,130.046179878
Boston University East,Saint Marys Street,120.423294323
Saint Marys Street,Boston University East,120.423294323
Hawes Street,Saint Marys Street,89.2474910376
Saint Marys Street,Hawes Street,89.2474910376
Saint Marys Street,Kenmore,189.358103258
Kenmore,Saint Marys Street,189.358103258
Kenmore,Hynes Convention Ctr,102.636784265
Hynes Convention Ctr,Kenmore,102.636784265
Hynes Convention Ctr,Copley,103.734078382
Copley,Hynes Convention Ctr,103.734078382
Copley,Bowdoin Station,138.368461916
Bowdoin Station,Copley,138.368461916
Bowdoin Station,Downtown Crossing Station,143.843172829
Downtown Crossing Station,Bowdoin Station,143.843172829
Back Bay Station,Arlington,116.448343769
Arlington,Back Bay Station,116.448343769
Arlington,Herald St,131.610341665
Herald St,Arlington,131.610341665
Herald St,East Berkeley St,117.106931554
East Berkeley St,Herald St,117.106931554
East Berkeley St,Union Park St,181.723284266
Union Park St,East Berkeley St,181.723284266
Union Park St,Newton St,152.847638532
Newton St,Union Park St,152.847638532
Newton St,Worcester Sq,105.743776246
Worcester Sq,Newton St,105.743776246
Worcester Sq,Mass. Ave,273.399220321
Mass. Ave,Worcester Sq,273.399220321
Mass. Ave,Lenox St,271.374867715
Lenox St,Mass. Ave,271.374867715
Lenox St,Melnea Cass,103.963519087
Melnea Cass,Lenox St,103.963519087
Broadway Station,DUDLEY SQ,139.904964304
DUDLEY SQ,Broadway Station,139.904964304
DUDLEY SQ,Courthouse,116.088842087
Courthouse,DUDLEY SQ,116.088842087
Courthouse,World Trade Center,162.21525905
World Trade Center,Courthouse,162.21525905
Oak Grove Station,World Trade Center,141.662191272
World Trade Center,Oak Grove Station,141.662191272
Oak Grove Station,Silver Line Way,83.8445844267
Silver Line Way,Oak Grove Station,83.8445844267
Silver Line Way,Eastern Ave,442.433597297
Eastern Ave,Silver Line Way,442.433597297
Eastern Ave,Box District,92.8442007037
Box District,Eastern Ave,92.8442007037
Box District,Bellingham Sq,132.65724028
Bellingham Sq,Box District,132.65724028
World Trade Center,Chelsea,84.4452396698
Chelsea,World Trade Center,84.4452396698
Chelsea,Harbor St,85.3829906311
Harbor St,Chelsea,85.3829906311
Harbor St,Tide St,289.053217132
Tide St,Harbor St,289.053217132
Tide St,23 Drydock Ave,126.106520612
23 Drydock Ave,Tide St,126.106520612
